time,theta,theta_ref,tau_out,tau1,tau2,q1,q2,dq1,dq2,z
18.776,-4.815514811341154e-06,0.0,1.9109409865137736e-05,0.0009587621509220617,-0.000353726351913684,-0.24603295174023646,0.15088138447129662,0.019480648731986277,-0.011946642104324844,-0.0275957547903941
18.778,-4.8147526011486225e-06,0.0,1.9106384170978883e-05,0.0009586103468233653,-0.0003536703456464954,-0.2459939966116084,0.15085749497022197,0.01947756431403109,-0.011944750537331544,-0.027591385472357184
18.78,-4.8139905073300154e-06,0.0,1.9103358956662073e-05,0.0009584585667677509,-0.00035361434824202997,-0.24595504765083992,0.1508336092516816,0.019474480384244326,-0.011942859270180378,-0.027587016846127535
18.782,-4.813228529946048e-06,0.0,1.910033422211074e-05,0.0009583068107515203,-0.00035355835969896063,-0.2459161048569548,0.15080972731507597,0.019471396942552188,-0.011940968302817798,-0.027582648911595616
18.784,-4.812466669050497e-06,0.0,1.9097309967226132e-05,0.0009581550787705582,-0.00035350238001597355,-0.24587716822897704,0.15078584915980559,0.019468313988880777,-0.011939077635190374,-0.02757828166865191
18.786,-4.811704924697138e-06,0.0,1.909428619191507e-05,0.0009580033708208677,-0.00035344640919175865,-0.24583823776593072,0.1507619747852711,0.019465231523156143,-0.011937187267244792,-0.02757391511718691
18.788,-4.810943296941483e-06,0.0,1.9091262896096816e-05,0.0009578516868986736,-0.0003533904472249913,-0.2457993134668401,0.15073810419087325,0.019462149545304317,-0.01193529719892785,-0.027569549257091135
18.79,-4.810181785837309e-06,0.0,1.9088240079689023e-05,0.0009577000270001622,-0.00035333449411434424,-0.2457603953307296,0.15071423737601286,0.019459068055251307,-0.011933407430186454,-0.027565184088255108
18.792,-4.8094203914314515e-06,0.0,1.9085217742586776e-05,0.0009575483911210935,-0.00035327854985850145,-0.24572148335662375,0.15069037434009092,0.01945598705292301,-0.011931517960967617,-0.027560819610569384
18.794,-4.8086591137776885e-06,0.0,1.9082195884718153e-05,0.0009573967792578548,-0.00035322261445613033,-0.24568257754354725,0.15066651508250847,0.01945290653824535,-0.011929628791218458,-0.027556455823924526
18.796,-4.807897952922857e-06,0.0,1.907917450598846e-05,0.0009572451914063938,-0.00035316668790590533,-0.24564367789052496,0.1506426596026667,0.019449826511144176,-0.011927739920886199,-0.02755209272821112
18.798000000000002,-4.80713690891206e-06,0.0,1.9076153606301024e-05,0.0009570936275626315,-0.00035311077020651013,-0.24560478439658187,0.15061880789996687,0.019446746971545262,-0.011925851349918169,-0.027547730323319766
18.8,-4.80637598179387e-06,0.0,1.9073133185578036e-05,0.0009569420877228384,-0.00035305486135661223,-0.2455658970607431,0.15059495997381034,0.019443667919374377,-0.011923963078261796,-0.027543368609141083
18.802,-4.805615171613389e-06,0.0,1.9070113243732587e-05,0.0009567905718831067,-0.0003529989613548829,-0.245527015882034,0.1505711158235986,0.019440589354557253,-0.011922075105864608,-0.0275390075855657
18.804000000000002,-4.8048544784122516e-06,0.0,1.9067093780668593e-05,0.0009566390800393679,-0.0003529430701999964,-0.24548814085947995,0.15054727544873325,0.019437511277019554,-0.01192018743267423,-0.02753464725248428
18.806,-4.804093902237294e-06,0.0,1.9064074796315455e-05,0.0009564876121880087,-0.0003528871878906145,-0.2454492719921066,0.15052343884861596,0.01943443368668696,-0.011918300058638386,-0.027530287609787485
18.808,-4.803333443128416e-06,0.0,1.9061056290579307e-05,0.0009563361683249871,-0.0003528313144253992,-0.24541040927893962,0.15049960602264856,0.01943135658348509,-0.011916412983704884,-0.027525928657366007
18.81,-4.8025731011237804e-06,0.0,1.905803826336378e-05,0.0009561847484462135,-0.0003527754498030287,-0.24537155271900493,0.15047577697023293,0.019428279967339483,-0.011914526207821637,-0.02752157039511055
18.812,-4.801812876263287e-06,0.0,1.9055020714583914e-05,0.0009560333525478276,-0.00035271959402217795,-0.2453327023113286,0.15045195169077105,0.019425203838175652,-0.011912639730936649,-0.02751721282291183
